Recette,Type,Ingrédients,Lien
Blanquette de veau,Plat,"Veau, Carottes, Champignons, Crème",https://www.marmiton.org/recettes/recherche.aspx?aqt=blanquette+de+veau
Bœuf bourguignon,Plat,"Bœuf, Vin rouge, Carottes, Champignons, Lardons",https://www.marmiton.org/recettes/recherche.aspx?aqt=boeuf+bourguignon
Gratin dauphinois,Plat,"Pommes de terre, Crème, Ail",https://www.marmiton.org/recettes/recherche.aspx?aqt=gratin+dauphinois
Ratatouille,Plat,"Aubergine, Courgette, Poivron, Tomates, Oignon",https://www.marmiton.org/recettes/recherche.aspx?aqt=ratatouille
Poulet rôti,Plat,"Poulet, Beurre, Thym",https://www.marmiton.org/recettes/recherche.aspx?aqt=poulet+roti
Coq au vin,Plat,"Poulet, Vin rouge, Champignons, Lardons",https://www.marmiton.org/recettes/recherche.aspx?aqt=coq+au+vin
Pot-au-feu,Plat,"Bœuf, Carottes, Poireaux, Navets, Pommes de terre",https://www.marmiton.org/recettes/recherche.aspx?aqt=pot+au+feu
Hachis parmentier,Plat,"Bœuf haché, Pommes de terre, Oignon, Fromage",https://www.marmiton.org/recettes/recherche.aspx?aqt=hachis+parmentier
Lasagnes à la bolognaise,Plat,"Bœuf haché, Tomates, Pâtes, Fromage, Béchamel",https://www.marmiton.org/recettes/recherche.aspx?aqt=lasagnes+bolognaise
Cassoulet,Plat,"Haricots blancs, Saucisse, Canard, Porc",https://www.marmiton.org/recettes/recherche.aspx?aqt=cassoulet
Choucroute garnie,Plat,"Chou, Saucisse, Porc, Pommes de terre",https://www.marmiton.org/recettes/recherche.aspx?aqt=choucroute+garnie
Tartiflette,Plat,"Pommes de terre, Reblochon, Lardons, Oignon",https://www.marmiton.org/recettes/recherche.aspx?aqt=tartiflette
Raclette,Plat,"Fromage, Pommes de terre, Charcuterie, Cornichons",https://www.marmiton.org/recettes/recherche.aspx?aqt=raclette
Fondue savoyarde,Plat,"Fromage, Pain, Vin blanc, Ail",https://www.marmiton.org/recettes/recherche.aspx?aqt=fondue+savoyarde
Steak frites,Plat,"Bœuf, Pommes de terre",https://www.marmiton.org/recettes/recherche.aspx?aqt=steak+frites
Sauté de porc au caramel,Plat,"Porc, Oignon, Miel",https://www.marmiton.org/recettes/recherche.aspx?aqt=saute+de+porc+au+caramel
Poulet basquaise,Plat,"Poulet, Poivron, Tomates, Oignon",https://www.marmiton.org/recettes/recherche.aspx?aqt=poulet+basquaise
Saumon en papillote,Plat,"Saumon, Citron, Courgette",https://www.marmiton.org/recettes/recherche.aspx?aqt=saumon+en+papillote
Moules marinières,Plat,"Moules, Vin blanc, Échalote, Persil",https://www.marmiton.org/recettes/recherche.aspx?aqt=moules+marinieres
Sole meunière,Plat,"Poisson, Beurre, Citron",https://www.marmiton.org/recettes/recherche.aspx?aqt=sole+meuniere
Brandade de morue,Plat,"Poisson, Pommes de terre, Ail, Huile d'olive",https://www.marmiton.org/recettes/recherche.aspx?aqt=brandade+de+morue
Couscous poulet merguez,Plat,"Poulet, Merguez, Semoule, Pois chiches, Carottes, Courgette",https://www.marmiton.org/recettes/recherche.aspx?aqt=couscous+poulet+merguez
Tajine d'agneau aux pruneaux,Plat,"Agneau, Pruneaux, Amandes, Oignon",https://www.marmiton.org/recettes/recherche.aspx?aqt=tajine+agneau+pruneaux
Paella,Plat,"Riz, Poulet, Fruits de mer, Poivron, Safran",https://www.marmiton.org/recettes/recherche.aspx?aqt=paella
Risotto aux champignons,Plat,"Riz, Champignons, Parmesan, Vin blanc",https://www.marmiton.org/recettes/recherche.aspx?aqt=risotto+aux+champignons
Spaghettis à la carbonara,Plat,"Pâtes, Lardons, Œufs, Parmesan",https://www.marmiton.org/recettes/recherche.aspx?aqt=spaghetti+carbonara
Gratin de courgettes,Plat,"Courgette, Crème, Fromage",https://www.marmiton.org/recettes/recherche.aspx?aqt=gratin+de+courgettes
Endives au jambon,Plat,"Endives, Jambon, Béchamel, Fromage",https://www.marmiton.org/recettes/recherche.aspx?aqt=endives+au+jambon
Tomates farcies,Plat,"Tomates, Chair à saucisse, Riz, Oignon",https://www.marmiton.org/recettes/recherche.aspx?aqt=tomates+farcies
Omelette aux champignons,Plat,"Œufs, Champignons, Beurre",https://www.marmiton.org/recettes/recherche.aspx?aqt=omelette+aux+champignons
Quenelles de brochet,Plat,"Poisson, Œufs, Crème",https://www.marmiton.org/recettes/recherche.aspx?aqt=quenelles+de+brochet
Bouillabaisse,Plat,"Poisson, Tomates, Safran, Ail",https://www.marmiton.org/recettes/recherche.aspx?aqt=bouillabaisse
Aligot,Plat,"Pommes de terre, Fromage, Ail, Crème",https://www.marmiton.org/recettes/recherche.aspx?aqt=aligot
Galette complète,Plat,"Sarrasin, Œufs, Jambon, Fromage",https://www.marmiton.org/recettes/recherche.aspx?aqt=galette+complete+sarrasin
Curry de légumes,Plat,"Courgette, Carottes, Lait de coco, Curry",https://www.marmiton.org/recettes/recherche.aspx?aqt=curry+de+legumes
Poule au pot,Plat,"Poulet, Carottes, Poireaux, Navets, Riz",https://www.marmiton.org/recettes/recherche.aspx?aqt=poule+au+pot
Bœuf carottes,Plat,"Bœuf, Carottes, Oignon, Vin blanc",https://www.marmiton.org/recettes/recherche.aspx?aqt=boeuf+carottes
Gigot d'agneau au four,Plat,"Agneau, Ail, Thym, Haricots verts",https://www.marmiton.org/recettes/recherche.aspx?aqt=gigot+agneau+au+four
Poisson pané purée,Plat,"Poisson, Pommes de terre, Beurre, Citron",https://www.marmiton.org/recettes/recherche.aspx?aqt=poisson+pane+puree
Tarte Tatin,Dessert,"Pommes, Pâte, Beurre, Sucre",https://www.marmiton.org/recettes/recherche.aspx?aqt=tarte+tatin
Crème brûlée,Dessert,"Crème, Œufs, Vanille, Sucre",https://www.marmiton.org/recettes/recherche.aspx?aqt=creme+brulee
Mousse au chocolat,Dessert,"Chocolat, Œufs",https://www.marmiton.org/recettes/recherche.aspx?aqt=mousse+au+chocolat
Clafoutis aux cerises,Dessert,"Cerises, Œufs, Lait, Farine",https://www.marmiton.org/recettes/recherche.aspx?aqt=clafoutis+aux+cerises
Île flottante,Dessert,"Œufs, Lait, Vanille, Caramel",https://www.marmiton.org/recettes/recherche.aspx?aqt=ile+flottante
Tarte au citron meringuée,Dessert,"Citron, Œufs, Beurre, Pâte",https://www.marmiton.org/recettes/recherche.aspx?aqt=tarte+au+citron+meringuee
Profiteroles,Dessert,"Chocolat, Glace vanille, Œufs, Beurre",https://www.marmiton.org/recettes/recherche.aspx?aqt=profiteroles
Far breton,Dessert,"Pruneaux, Œufs, Lait, Farine",https://www.marmiton.org/recettes/recherche.aspx?aqt=far+breton
Crêpes sucrées,Dessert,"Farine, Œufs, Lait, Sucre",https://www.marmiton.org/recettes/recherche.aspx?aqt=crepes+sucrees
Fondant au chocolat,Dessert,"Chocolat, Beurre, Œufs, Farine",https://www.marmiton.org/recettes/recherche.aspx?aqt=fondant+au+chocolat
Riz au lait,Dessert,"Riz, Lait, Vanille, Sucre",https://www.marmiton.org/recettes/recherche.aspx?aqt=riz+au+lait
Salade de fruits frais,Dessert,"Fruits de saison, Citron, Menthe",https://www.marmiton.org/recettes/recherche.aspx?aqt=salade+de+fruits+frais
Tiramisu,Dessert,"Mascarpone, Café, Œufs, Biscuits",https://www.marmiton.org/recettes/recherche.aspx?aqt=tiramisu
Panna cotta,Dessert,"Crème, Vanille, Fruits rouges",https://www.marmiton.org/recettes/recherche.aspx?aqt=panna+cotta
Gâteau au yaourt,Dessert,"Yaourt, Farine, Œufs, Sucre",https://www.marmiton.org/recettes/recherche.aspx?aqt=gateau+au+yaourt
Tarte aux pommes,Dessert,"Pommes, Pâte, Sucre, Beurre",https://www.marmiton.org/recettes/recherche.aspx?aqt=tarte+aux+pommes
Pain perdu,Dessert,"Pain, Œufs, Lait, Sucre",https://www.marmiton.org/recettes/recherche.aspx?aqt=pain+perdu
